"respondent_id","brand.recall","brand.recognition"
149,"mcdonalds; kfc; wendys; whitecastle; tacobell; burgerking; maxburgers","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
162,"mcdonalds; kfc; pizzahut","kfc; burgerking; mcdonalds; subway; niewiem"
123,"mcdonalds; kfc; pizzahut; telepizza; dominos; dagrasso; popeyes; chickfila; kebabking; donerkebab; amirkebab; subway; tacobell; pandaexpress; sonic; burgerking","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
72,"mcdonalds; kfc; pizzahut; bobbyburger; maxburgers","kfc; niewiem; mcdonalds; subway; maxburgers"
155,"mcdonalds; subway; kfc","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
114,"mcdonalds; kfc; kebabking; burgerking; wendys; bobbyburger; popeyes; tacobell","kfc; burgerking; mcdonalds; niewiem; tacobell; wendys; maxburgers"
1,"kfc; mcdonalds; wendys; popeyes; burgerking; northfish; pasibus","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
71,"mcdonalds; kfc","kfc; niewiem; mcdonalds; subway; maxburgers"
80,"mcdonalds; kfc; burgerking; subway; silverdragon; tacobell","kfc; niewiem; mcdonalds; subway; tacobell; maxburgers"
161,"mcdonalds; kfc; popeyes; burgerking; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; popeyes"
31,"mcdonalds; kfc; burgerking; popeyes; subway; pizzahut; dominos; northfish; donerkebab","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
154,"mcdonalds; kfc","kfc; niewiem; mcdonalds; subway"
40,"mcdonalds; kfc; burgerking; subway","kfc; burgerking; mcdonalds; subway; niewiem; maxburgers"
52,"mcdonalds; tacobell; wendys; popeyes; kebabking; burgerking; saladstory; subway","kfc; burgerking; mcdonalds; subway; tacobell; wendys; maxburgers; niewiem"
108,"mcdonalds; kfc; popeyes; maxburgers","kfc; niewiem; mcdonalds; subway; tacobell; maxburgers; popeyes"
